sentence,true_label,vader_pred,finbert_pred,vader_compound,finbert_confidence,true_label_str,vader_pred_str,finbert_pred_str,vader_correct,finbert_correct,models_disagree,category
"SRV will also build an aqua park with wellness area , a restaurant and a multifunctional ice arena .",1,2,1,0.44040000438690186,0.6637939214706421,neutral,positive,neutral,False,True,True,finbert_wins
"The share capital of Basware Corporation is 11,720,829 .",1,2,1,0.29600000381469727,0.9524142742156982,neutral,positive,neutral,False,True,True,finbert_wins
"The value of the deal exceeds EUR500 ,000 , the company said .",1,2,1,0.3400000035762787,0.5471413135528564,neutral,positive,neutral,False,True,True,finbert_wins
Net sales surged by 30 % to EUR 36 million .,2,1,2,0.0,0.9565695524215698,positive,neutral,positive,False,True,True,finbert_wins
The company said that sales in the three months to the end of March slid to EUR86 .4 m US$ 113.4 m from EUR91 .2 m last year .,0,1,0,0.0,0.9752587080001831,negative,neutral,negative,False,True,True,finbert_wins
Lieksaare Oy has earlier been regarded under the control of Saarelainen Oy and the individual shareholders under the shareholder agreement .,1,2,1,0.49390000104904175,0.9543460011482239,neutral,positive,neutral,False,True,True,finbert_wins
"However , the net sales declined to EUR 803.6 million from EUR 1.2 billion .",0,1,0,0.0,0.9749944806098938,negative,neutral,negative,False,True,True,finbert_wins
Pretax profit decreased by 37 % to EUR 193.1 mn from EUR 305.6 mn .,0,2,0,0.44040000438690186,0.9749769568443298,negative,positive,negative,False,True,True,finbert_wins
"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .",0,1,0,-0.025800000876188278,0.5353636741638184,negative,neutral,negative,False,True,True,finbert_wins
Consolidated pretax profit decreased by 69.2 % to EUR 41.0 mn from EUR 133.1 mn in 2007 .,0,2,0,0.44040000438690186,0.9760973453521729,negative,positive,negative,False,True,True,finbert_wins
- Profit before taxes was EUR 105.9 82.7 million .,1,2,1,0.44040000438690186,0.9256082773208618,neutral,positive,neutral,False,True,True,finbert_wins
Nokia Messaging 1.1 enables customers to receive e-mails from up to 10 e-mail accounts on their mobile phone supporting all POP or IMAP e-mail services .,1,2,1,0.44040000438690186,0.8889634013175964,neutral,positive,neutral,False,True,True,finbert_wins
"At the beginning of the subscription period on May 2 , 2006 the share subscription price under B option right is EUR 10.22 per share .",1,2,1,0.5267000198364258,0.9526937007904053,neutral,positive,neutral,False,True,True,finbert_wins
"In the second quarter of 2010 , the group 's pretax loss narrowed to EUR 400,000 from EUR 600,000 .",2,0,2,-0.3181999921798706,0.9259689450263977,positive,negative,positive,False,True,True,finbert_wins
Solidium now holds 5.0 per cent of the shares Solidium Oy has acquired 5.0 per cent of the shares in Tieto Corporation for approximately EUR 58 million .,1,2,1,0.5267000198364258,0.9383249282836914,neutral,positive,neutral,False,True,True,finbert_wins
Alfa group will have 43.9 % of voting stock in the new company and Telenor 35.4 % with a free float of 20.7 % .,1,2,1,0.5105999708175659,0.9469675421714783,neutral,positive,neutral,False,True,True,finbert_wins
"( ADP News ) - Feb 12 , 2009 - Finnish construction company Lemminkainen Oyj ( HEL : LEM1S ) said today its net profit decreased to EUR 63.5 million ( USD 81.1 m ) for 2008 from EUR 80.6 million for 2007 .",0,2,0,0.44040000438690186,0.9746427536010742,negative,positive,negative,False,True,True,finbert_wins
Sanoma Corporation wants a new and better frequency for the Helsinki metropolitan area .,1,2,1,0.44040000438690186,0.522554874420166,neutral,positive,neutral,False,True,True,finbert_wins
"Stockholm , 3 March 2011 About Cybercom The Cybercom Group is a high-tech consultancy that offers global sourcing for end-to-end solutions .",1,2,1,0.17790000140666962,0.8946468830108643,neutral,positive,neutral,False,True,True,finbert_wins
The share subscription period for C options will commence on 1 September 2008 and expire on 31 March 2011 .,1,2,1,0.29600000381469727,0.9528343677520752,neutral,positive,neutral,False,True,True,finbert_wins
"In a note to clients published , the Dutch broker described the company 's third quarter results as ` soft ' , although it also noted that Elcoteq retained its guidance , dealers said .",1,1,2,0.025800000876188278,0.5367883443832397,neutral,neutral,positive,True,False,True,vader_wins
The group reiterated its forecast that handset manufacturers will sell around 915 mln units this year globally .,1,1,2,0.0,0.8271640539169312,neutral,neutral,positive,True,False,True,vader_wins
The measures taken will cause one-time costs during the final part of 2006 .,1,1,0,0.0,0.9415819048881531,neutral,neutral,negative,True,False,True,vader_wins
Karppinen expects the consolidation trend to continue in the Finnish market .,1,1,2,0.0,0.9264102578163147,neutral,neutral,positive,True,False,True,vader_wins
"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",2,2,0,0.6485999822616577,0.6781303882598877,positive,positive,negative,True,False,True,vader_wins
"In the fourth quarter of 2006 , OKO Banks expects the operating environment for Banking and Investment Services to remain similar to that in January-September 2006 .",1,1,2,0.0,0.8709604740142822,neutral,neutral,positive,True,False,True,vader_wins
The electricity requirement of networks will grow with the new mobile generation .,1,1,2,0.0,0.8857734799385071,neutral,neutral,positive,True,False,True,vader_wins
"`` We have come out with a decision which is based on our preliminary economic , operational and environmental findings , '' Karvinen said .",1,1,2,0.0,0.5056782364845276,neutral,neutral,positive,True,False,True,vader_wins
"In China , Finnish Kone that provides elevators , escalators , and solutions for modernisation and maintenance will build 342 escalators that will be installed in a high-speed railway section between Beijing and Shanghai in a 1.5 years ' time .",2,2,1,0.17790000140666962,0.6068756580352783,positive,positive,neutral,True,False,True,vader_wins
"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri",0,0,2,-0.3181999921798706,0.9336784482002258,negative,negative,positive,True,False,True,vader_wins
"Fiskars has a strong portfolio of international brands , which include Fiskars , Iittala , Gerber , Silva and Buster .",2,2,1,0.5105999708175659,0.6002557277679443,positive,positive,neutral,True,False,True,vader_wins
Rautaruukki aims to find work from the group 's other locations for those who have been made redundant .,1,1,0,0.0,0.5370362997055054,neutral,neutral,negative,True,False,True,vader_wins
The EUR 0.7 million non-recurring expenses have been recorded for the third quarter .,1,1,0,0.0,0.5354897379875183,neutral,neutral,negative,True,False,True,vader_wins
The second-quarter net sales are expected to be on par with the first quarter of 2009 .,1,1,2,0.0,0.6016669869422913,neutral,neutral,positive,True,False,True,vader_wins
"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 .",0,0,2,-0.15309999883174896,0.9343902468681335,negative,negative,positive,True,False,True,vader_wins
"F-Secure reported that : - The first half of 2008 has seen a growing number of targeted malware attacks on individuals , companies , and organizations .",1,0,0,-0.22630000114440918,0.7862293720245361,neutral,negative,negative,False,False,False,both_wrong
"The contract covers turnkey deliveries to all five airports operated by the authority -- John F Kennedy , LaGuardia , Newark , Teterboro and Stewart International .",1,2,2,0.07720000296831131,0.6952191591262817,neutral,positive,positive,False,False,False,both_wrong
"The sale of Savcor FACE to Cencorp will result in a profit or loss which can not yet be determined , owing to factors including the valuation of the consideration shares to be received and prevailing exchange rates .",1,2,0,0.19349999725818634,0.6104629039764404,neutral,positive,negative,False,False,True,both_wrong
Unit costs for flight operations fell by 6.4 percent .,2,1,0,0.0,0.9678425788879395,positive,neutral,negative,False,False,True,both_wrong
"According shipping company Viking Line , the EU decision will have a significant financial impact .",1,2,0,0.20229999721050262,0.5432599186897278,neutral,positive,negative,False,False,True,both_wrong
"F-Secure , a developer of security solutions as a service through Internet Service Providers and mobile operators , announced results from its annual Online Wellbeing Survey .",1,2,2,0.4767000079154968,0.6710271835327148,neutral,positive,positive,False,False,False,both_wrong
Neste Shipping is the most likely to remain Finnish as the oil sector and its transports are significant for emergency supply .,1,0,0,-0.20229999721050262,0.3832312822341919,neutral,negative,negative,False,False,False,both_wrong
Finnish Stockmann Group 's mail order unit Hobby Hall has launched a trial marketing campaign in Russia .,1,2,2,0.12800000607967377,0.5060421228408813,neutral,positive,positive,False,False,False,both_wrong
The insurance division turned a EUR120m profit .,1,2,2,0.44040000438690186,0.9034100770950317,neutral,positive,positive,False,False,False,both_wrong
You are warmly welcome !,1,2,2,0.7177000045776367,0.7167433500289917,neutral,positive,positive,False,False,False,both_wrong
"According to Saarioinen 's Managing Director Ilkka M+ñkel+ñ , the food industry sector has a significant excess of production machinery .",1,2,0,0.20229999721050262,0.7088017463684082,neutral,positive,negative,False,False,True,both_wrong
"Based on negotiations with personnel , some 20 % have indicated their willingness to move to the new location .",1,2,2,0.27320000529289246,0.6630588173866272,neutral,positive,positive,False,False,False,both_wrong
"Fortum needs a clear signal of commitment from the Government that the permit is available before the company will start the next round , Kuula says .",1,2,2,0.636900007724762,0.8227226138114929,neutral,positive,positive,False,False,False,both_wrong
"The planned facility , estimated to cost around $ 814 million , would be the largest biodiesel plant in the world , and use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .",2,1,1,0.0,0.6242290139198303,positive,neutral,neutral,False,False,False,both_wrong
Aldata to Share Space Optimization Vision at Apollo User Group and 2009 Category Management Association Conferences ; Company Will Unveil New Solution that Combines Business Intelligence with Space Planning Data at Conferences,1,2,2,0.8806999921798706,0.7230040431022644,neutral,positive,positive,False,False,False,both_wrong
The solution will be installed in the USA to support the North American operations of the customer .,1,2,2,0.6123999953269958,0.5018225312232971,neutral,positive,positive,False,False,False,both_wrong
"So far the company has awarded more than $ 350,000 worth of tools and materials .",1,2,2,0.5573999881744385,0.676478385925293,neutral,positive,positive,False,False,False,both_wrong
"Wayne Greensmith , Fiskars Brands UK senior brand manager , said : `` We have launched this as we want to give something back to the community .",1,2,2,0.20229999721050262,0.6282910704612732,neutral,positive,positive,False,False,False,both_wrong
"To showcase our end-to-end capabilities at the Mobile World Congress , we arranged an internal MeeGo application development competition to entice developers to create new applications .",1,2,2,0.27320000529289246,0.7983807325363159,neutral,positive,positive,False,False,False,both_wrong
"Following the issue , the number of shares in the Swedish company will grow by 9 % .",1,2,2,0.3612000048160553,0.8917497396469116,neutral,positive,positive,False,False,False,both_wrong
Unit costs for flight operations fell by 6.4 percent .,2,1,0,0.0,0.9678425788879395,positive,neutral,negative,False,False,True,finbert_overconfident_wrong
The measures taken will cause one-time costs during the final part of 2006 .,1,1,0,0.0,0.9415819048881531,neutral,neutral,negative,True,False,True,finbert_overconfident_wrong
"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 .",0,0,2,-0.15309999883174896,0.9343902468681335,negative,negative,positive,True,False,True,finbert_overconfident_wrong
"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri",0,0,2,-0.3181999921798706,0.9336784482002258,negative,negative,positive,True,False,True,finbert_overconfident_wrong
Karppinen expects the consolidation trend to continue in the Finnish market .,1,1,2,0.0,0.9264102578163147,neutral,neutral,positive,True,False,True,finbert_overconfident_wrong
The insurance division turned a EUR120m profit .,1,2,2,0.44040000438690186,0.9034100770950317,neutral,positive,positive,False,False,False,finbert_overconfident_wrong
